query_type,query,recognised_keyword_features,rank,title,organisation,description_preview,dataset_url,semantic_score,semantic_ratio_to_best,keyword_score,keyword_ratio_to_best,hybrid_score,passes_strict_rule,passes_balanced_rule,passes_permissive_rule
natural_language,Sydney public transport passenger data,6,1000,Rawsonville Bridge replacement : review of environmental factors,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-19519-rawsonville-bridge-replacement---review-of-environmental-factors,0.44323140382766724,0.6242525697296575,0.03196559473872185,0.1264513159061264,0.0009735009442870632,True,True,True
natural_language,bushfire risk management plans,7,1,NSW BushFire Prone Land,Spatial Services (DCS),"Bush Fire Prone Land is mapped within a local government area, which becomes the trigger for planning for bush fire protection. Bush Fire Prone Land mapping is intended to designate areas of the State that are considered to be higher bush…",https://data.nsw.gov.au/data/dataset/1-84c338fe2e8c49a9836751ed49c9c581,0.5840848684310913,1.0,0.10882128775119781,0.4013237484366896,0.015700761948741628,True,True,True
natural_language,bushfire risk management plans,7,5,Bushfire Prevention a must for Private Poles and Powerlines,NSW Government,Ausgrid is urging property owners with private poles and powerlines to make sure they are prepared for the bushfire dange period.,https://data.nsw.gov.au/data/dataset/3-15637-bushfire-prevention-a-must-for-private-poles-and-powerlines,0.4974580705165863,0.8516879950216943,0.0811987817287445,0.2994542715426894,0.011338185890257558,True,True,True
natural_language,bushfire risk management plans,7,10,30 March 2016 - Start of bushfire safety aerial patrols,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-16220-30-march-2016---start-of-bushfire-safety-aerial-patrols,0.5309820771217346,0.9090837750137305,0.04359613358974457,0.16077887067082955,0.010881287205590543,True,True,True
natural_language,bushfire risk management plans,7,20,2019/2020 Bushfire Inquiry project water quality dataset,"NSW Department of Climate Change, Energy, the Environment and Water","The Integrated Water Quality and Environmental Monitoring Dataset before, during and after the 2019/2020 Bushfires is a comprehensive repository of data compiled from multiple sources, including the MER (Monitoring, Evaluating, Reporting)…",https://data.nsw.gov.au/data/dataset/2019-2020-bushfire-inquiry-project-water-quality-dataset,0.4626881778240204,0.7921591584230657,0.08360657095909119,0.30833399553178165,0.009635849684070502,True,True,True
natural_language,bushfire risk management plans,7,30,17 March 2017 - Helicopter patrols signal the start of Endeavour Energy’s bushfire safety preparations,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-16199-17-march-2017---helicopter-patrols-signal-the-start-of-endeavour-energy-s-bushfire-safety-pr,0.4834374189376831,0.8276835183836263,0.0354800783097744,0.13084754202377297,0.0084412339284903,True,True,True
natural_language,bushfire risk management plans,7,40,Fire Extent and Severity Mapping (FESM) 2025/26 (interim July 1 -March 31),"NSW Department of Climate Change, Energy, the Environment and Water","Fire severity is a metric of the loss of biomass caused by fire. In collaboration with the NSW Rural Fire Service, DCCEEW Remote Sensing & Regulatory Mapping team has developed a semi-automated approach to mapping fire extent and severity…",https://data.nsw.gov.au/data/dataset/fire-extent-and-severity-mapping-fesm-2025-26,0.4726160168647766,0.8091564127217833,0.0019625674467533827,0.0072377835308443245,0.007789552424884677,True,True,True
natural_language,bushfire risk management plans,7,50,Lismore Flood Risk Management Plan 2024 - Report,Lismore City Council,"This updated Flood Risk Management Plan is a comprehensive strategy to address and manage flood risks in the Lismore Township. It builds upon previous studies, particularly the 2021 Floodplain Risk Management Study (FRMS), and integrates…",https://data.nsw.gov.au/data/dataset/fdp-lismore-flood-risk-management-plan-2024-report,0.3903588652610779,0.668325591638112,0.10298631340265274,0.3798048542388559,0.007215346534653465,True,True,True
natural_language,bushfire risk management plans,7,75,Historical Fire Extent and Severity Mapping (FESM) - Statewide 2011-12,"NSW Department of Climate Change, Energy, the Environment and Water","Fire severity is a metric of the loss of biomass caused by fire. In collaboration with the NSW Rural Fire Service, the department's Remote Sensing & Regulatory Mapping team has developed a semi-automated approach to mapping fire extent and…",https://data.nsw.gov.au/data/dataset/historical-fire-extent-and-severity-mapping-fesm-statewide-201112,0.4385368824005127,0.750810209445188,0.0,0.0,0.006306306306306306,True,True,True
natural_language,bushfire risk management plans,7,100,Emergency Risk Management Framework,NSW Government,This framework has been developed to provide a common approach and principles for the Emergency Management sector and NSW Government for emergency risk management. It also serves to inform non-government stakeholders regarding the direction…,https://data.nsw.gov.au/data/dataset/3-19083-emergency-risk-management-framework,0.36411330103874207,0.6233910870123819,0.09381993860006332,0.3460000356103398,0.005436912225705329,True,True,True
natural_language,bushfire risk management plans,7,150,Woolooware Bay Floodplain Risk Management Study & Plan - Report,Sutherland Shire Council,PDF copy of final report.,https://data.nsw.gov.au/data/dataset/fdp-woolooware-bay-floodplain-risk-management-study-and-plan-report,0.38830459117889404,0.6648085101432569,0.07201734930276871,0.2655939216667046,0.004539943670378453,True,True,True
natural_language,bushfire risk management plans,7,200,Lismore Floodplain Risk Management Study - Report,Rous County Council,Final report in full.,https://data.nsw.gov.au/data/dataset/fdp-related-dataset_revision_lismore-floodplain-risk-management-study-report,0.3296704590320587,0.5644221873399761,0.08735794574022293,0.32216874992649874,0.003861140130445831,True,True,True
natural_language,bushfire risk management plans,7,300,NSW Rural Fire Service Annual Report 2012-2013,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-12952-nsw-rural-fire-service-annual-report-2012-2013,0.3804186284542084,0.6513071113724445,0.0,0.0,0.0028688524590163933,True,True,True
natural_language,bushfire risk management plans,7,500,Manilla Floodplain Risk Management Study and Draft Plan - Survey,Tamworth Regional Council,Survey,https://data.nsw.gov.au/data/dataset/fdp-manilla-floodplain-risk-management-study-and-draft-plan-survey,0.3421081006526947,0.5857164243470822,0.06106863170862198,0.22521597286404182,0.0020399604456922886,True,True,True
natural_language,bushfire risk management plans,7,750,Albury Floodplain Risk Management Study and Plan - Flood Damages,Albury City Council,Flood Damages,https://data.nsw.gov.au/data/dataset/fdp-albury-floodplain-risk-management-study-and-plan-flood-damages,0.28547215461730957,0.48875115594779145,0.06577399373054504,0.24256895189427774,0.0013948563444240677,False,True,True
natural_language,bushfire risk management plans,7,1000,Snowy Monaro Regional Council Flood and Floodplain Risk Management Studies - Flood Studies - Report(Draft Final),Snowy Monaro Regional Council,Flood Study report covering the four towns,https://data.nsw.gov.au/data/dataset/fdp-snowy-monaro-regional-council-flood-and-floodplain-risk-management-studies-flood-studiesbdab0cb2,0.2857445776462555,0.4892175659571411,0.04133633151650429,0.15244491085929618,0.000953481868581102,False,True,True
misspelled,emergncy departmnt wait times,2,1,Average wait time for households in urgent need,Department of Communities and Justice,"Households on the NSW Housing Register include both priority applicants waiting to be housed and existing tenants in social housing waiting urgently to be rehoused, as their current house does not meet their needs. Priority applicants are…",https://data.nsw.gov.au/data/dataset/average-wait-time-for-households-in-urgent-need,0.36197060346603394,1.0,0.13896016776561737,1.0,0.016393442622950817,True,True,True
misspelled,emergncy departmnt wait times,2,5,Expected Waiting Times for Social Housing,Housing NSW,Expected Waiting Times for Social Housing,https://data.nsw.gov.au/data/dataset/expected-waiting-times-for-social-housing,0.2326982617378235,0.642865082163113,0.10775773972272873,0.7754577549480406,0.014546654929577463,True,True,True
misspelled,emergncy departmnt wait times,2,10,Managing length of stay and unplanned readmissions in NSW public hospitals,NSW Government,"Auditor-General's Report to Parliament, Performance Audit",https://data.nsw.gov.au/data/dataset/3-14876-managing-length-of-stay-and-unplanned-readmissions-in-nsw-public-hospitals,0.23886379599571228,0.6598983279539341,0.0,0.0,0.010144927536231883,False,False,True
misspelled,emergncy departmnt wait times,2,20,Journey to Work (JTW) 2011,Transport for NSW,This dataset contains a snapshot of commuting patterns for Census day 2011 (Tuesday 9th August). It is a complete enumeration via a self-completion Census form. The scope of Journey to Work (JTW) 2011 is employed persons aged 15 years and…,https://data.nsw.gov.au/data/dataset/2-journey-work-jtw-2011,0.20609474182128906,0.5693687273160796,0.0,0.0,0.008749999999999999,False,False,True
misspelled,emergncy departmnt wait times,2,30,Opal Trips - Light Rail,Transport for NSW,"This dataset contains Official Light Rail Utilisation figures. Opal tap-on/tap-off data (representing an individual entering and exiting a Light Rail station), is aggregated to a total monthly figure representing the estimated number of…",https://data.nsw.gov.au/data/dataset/2-opal-trips-light-rail,0.1992790699005127,0.5505393752761262,0.0,0.0,0.0077777777777777776,False,False,False
misspelled,emergncy departmnt wait times,2,40,End of Tenancy Survey - Pilot,Fair Trading,"NSW Tenancy laws say how residential tenancy agreements can be ended. Tenancies are usually terminated by the tenant, landlord, the landlord's agent, or by a Tribunal order. Fair Trading conducted an end-of tenancy survey to collect data…",https://data.nsw.gov.au/data/dataset/end-of-tenancy-survey-pilot,0.18895037472248077,0.5220047509747879,0.0,0.0,0.00707070707070707,False,False,False
misspelled,emergncy departmnt wait times,2,50,Gunnedah Shire Council Extraordinary Meeting Minutes - 6 September 2017,NSW Government,Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-19432-gunnedah-shire-council-extraordinary-meeting-minutes---6-september-2017,0.18623116612434387,0.5144925149752365,0.0,0.0,0.006542056074766355,False,False,False
misspelled,emergncy departmnt wait times,2,75,Gunnedah Shire Council Extraordinary Meeting Minutes - 7 August 2013,NSW Government,Extraordinary Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-15537-gunnedah-shire-council-extraordinary-meeting-minutes---7-august-2013,0.17894355952739716,0.49435937010887293,0.0,0.0,0.005384615384615384,False,False,False
misspelled,emergncy departmnt wait times,2,100,Gunnedah Shire Council Ordinary Meeting Minutes - 21 February 2018,NSW Government,Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-19488-gunnedah-shire-council-ordinary-meeting-minutes---21-february-2018,0.17727786302566528,0.4897576248682869,0.0,0.0,0.004666666666666666,False,False,False
misspelled,emergncy departmnt wait times,2,150,Gunnedah Shire Council Ordinary Meeting Minutes - 15 February 2017,NSW Government,Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-19442-gunnedah-shire-council-ordinary-meeting-minutes---15-february-2017,0.17318354547023773,0.4784464368430092,0.0,0.0,0.0037634408602150535,False,False,False
misspelled,emergncy departmnt wait times,2,200,FireTools Cloud Results - NPWS South Coast Branch,"NSW Department of Climate Change, Energy, the Environment and Water","FireTools Cloud is a web-based GIS processing environment developed by the NSW Bushfire Risk Management Research Hub, a NSW focused research partnership between the NSW Department of Planning, Industry and Environment, the University of…",https://data.nsw.gov.au/data/dataset/firetools-cloud-results-for-npws-south-coast-branch,0.0197781752794981,0.05464028042640213,0.0071167112328112125,0.051214037427004935,0.0032313973665407778,False,False,False
misspelled,emergncy departmnt wait times,2,300,Gunnedah Shire Council Extraordinary Meeting Minutes - 11 January 2022,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-19788-gunnedah-shire-council-extraordinary-meeting-minutes---11-january-2022,0.15288904309272766,0.42237972263146567,0.0,0.0,0.0023809523809523807,False,False,False
misspelled,emergncy departmnt wait times,2,500,Hume Highway (SH2): Coolac Bypass: environmental review,NSW Government,The main objectives of this review are to determine the design alterations are consistent with the conditions of approval granted by the CEO of the RTA in May 1997. The review considers time lapse since this project was approved with…,https://data.nsw.gov.au/data/dataset/3-16697-hume-highway--sh2---coolac-bypass--environmental-review,0.12248692661523819,0.33838915492686394,0.0,0.0,0.0014675052410901466,False,False,False
misspelled,emergncy departmnt wait times,2,750,WorkCover News - Issue 62 (September - November 2005),NSW Government,"WorkCover News, the workplace safety and injury management magazine. This Issue includes: - Safety Summit 2005 - New rural safety initiatives - Assistance for small to medium sized businesses",https://data.nsw.gov.au/data/dataset/3-14379-workcover-news---issue-62--september---november-2005-,0.09531566500663757,0.2633243254947958,0.0,0.0,0.0009510869565217391,False,False,False
misspelled,emergncy departmnt wait times,2,1000,NSW State Emergency Management Committee Communique - Meeting 79,NSW Government,"Communique for NSW State Emergency Management Committee Communique Meeting 79, 3 March 2011",https://data.nsw.gov.au/data/dataset/3-18998-nsw-state-emergency-management-committee-communique---meeting-79,0.08306001126766205,0.22946617894471122,0.0,0.0,0.0007056451612903225,False,False,False
