query_type,query,recognised_keyword_features,rank,title,organisation,description_preview,dataset_url,semantic_score,semantic_ratio_to_best,keyword_score,keyword_ratio_to_best,hybrid_score,passes_strict_rule,passes_balanced_rule,passes_permissive_rule
narrow,koala habitat corridors,5,100,Central Inland Glossy Black Cockatoo Foraging Habitat,"NSW Department of Climate Change, Energy, the Environment and Water",Mapping of Glossy Black-Cockatoo foraging habitat in the Central Inland project area (approximately from Parkes to Narrabri in NSW). The composite vegetation map was derived from 16 existing vegetation maps of varying age and quality which…,https://data.nsw.gov.au/data/dataset/central-inland-glossy-black-cockatoo-foraging-habitat,0.3533700108528137,0.45932765426646677,0.03752104192972183,0.12602514522452746,0.005034188034188034,True,True,True
narrow,koala habitat corridors,5,150,NSW Subtidal Marine Habitat Data,"NSW Department of Climate Change, Energy, the Environment and Water",Subtidal marine habitats in NSW Coastal Waters - 2005 - 2016,https://data.nsw.gov.au/data/dataset/nsw-marine-habitat-data,0.32320094108581543,0.420112419181765,0.03640817850828171,0.12228727529637495,0.0037804546073227164,False,True,True
narrow,koala habitat corridors,5,200,"Kogarah, Cooks River Vegetation. VIS_ID 4168","NSW Department of Climate Change, Energy, the Environment and Water",Unknown. Supplied by Kogarah Council in January 2008. VIS_ID 4168,https://data.nsw.gov.au/data/dataset/kogarah-cooks-river-vegetation-vis_id-416849368,0.3526116609573364,0.45834191391526335,0.0,0.0,0.003056768558951965,True,True,True
narrow,koala habitat corridors,5,300,Vegetation Mapping of Snake Rock Aboriginal Reserve. VIS_ID 4015,"NSW Department of Climate Change, Energy, the Environment and Water","The composition and extent of the present vegetation of Snake Rock Aboriginal Reserve is described and mapped at 1:50,000 scale from quadrat samples, field traverses and aerial photograph interpretation. Two broad vegetation communities are…",https://data.nsw.gov.au/data/dataset/vegetation-mapping-of-snake-rock-aboriginal-reserve-vis_id-4015d3fca,0.33090969920158386,0.4301326406886159,0.0,0.0,0.0021943573667711595,False,True,True
narrow,koala habitat corridors,5,500,Species impact statement Bibbenluke proposed 8 Lot rural residential subdivision Duffys Forest final report,"NSW Department of Climate Change, Energy, the Environment and Water",Species impact statement Bibbenluke proposed 8 Lot rural residential subdivision Duffys Forest final report,https://data.nsw.gov.au/data/dataset/fis_00031,0.3061191439628601,0.39790866232020483,0.0,0.0,0.001483050847457627,False,False,True
narrow,koala habitat corridors,5,750,Nandewar WRA final vegetation layer - VIS_ID 12 & VIS ID 3881,"NSW Department of Climate Change, Energy, the Environment and Water",This project constitutes the Vegetation Mapping and Survey component of the Nandewar WRA Biodiversity Surrogates Project. The Nandewar WRA follows that previously undertaken for the Brigalow Belt South Bioregion. The Nandewar WRA area…,https://data.nsw.gov.au/data/dataset/nandewar-wra-final-vegetation-layer-vis_id-12-vis-id-38817c4bb,0.2842746675014496,0.369514141496314,0.0,0.0,0.0010401188707280832,False,False,True
narrow,koala habitat corridors,5,1000,Bega and Brogo Rivers FRMP - Catchment Area,Bega Valley Shire Council,Catchment area,https://data.nsw.gov.au/data/dataset/fdp-bega-and-brogo-rivers-frmp-catchment-area,0.2682741582393646,0.34871589557644855,0.0,0.0,0.0007526881720430108,False,False,False
narrow,hospital waiting times,4,1,Waiting times for elective surgery in public hospitals: NSW Department of Health,NSW Government,Performance Audit Report,https://data.nsw.gov.au/data/dataset/3-18016-waiting-times-for-elective-surgery-in-public-hospitals--nsw-department-of-health,0.5241740942001343,1.0,0.1561330109834671,0.40917111240916093,0.016237314597970336,True,True,True
narrow,hospital waiting times,4,5,Hospital Quarterly: Performance of NSW public hospitals - October to December 2015,Bureau of Health Information,Hospital Quarterly is a series of regular reports that track services provided in NSW public hospitals and the timeliness with which they are delivered. The report is structured around two types of measures: activity measures and…,https://data.nsw.gov.au/data/dataset/hospital-quarterly-performance-of-nsw-public-hospitals-october-to-december-2015,0.46170926094055176,0.8808318954508788,0.06358572095632553,0.16663638274287296,0.014385775862068965,True,True,True
narrow,hospital waiting times,4,10,Hospital Quarterly: Performance of NSW public hospitals - January to March 2014,Bureau of Health Information,Hospital Quarterly is a series of regular reports that track services provided in NSW public hospitals and the timeliness with which they are delivered. The report is structured around two types of measures: activity measures and…,https://data.nsw.gov.au/data/dataset/hospital-quarterly-performance-of-nsw-public-hospitals-january-to-march-2014,0.4355825185775757,0.8309882601929321,0.064040906727314,0.16782926864890274,0.013716356107660454,True,True,True
