query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
narrow,ambulance off stretcher times,51,100,50,0.2558884918689728,0.2264954823255539,0.22842633724212646,0.1590701937675476,0.392878048452666,0.39622730073655,0.05534512922167778,0.004878274328075349,0.0,0.0,0.007604409318806135,0.0,0,8,42
narrow,ambulance off stretcher times,101,200,100,0.2216396927833557,0.1973827175423503,0.21025465428829193,0.024365771561861038,0.3423791771478228,0.36470678093323905,0.05975647270679474,0.005085116734262556,0.0,0.0,0.007926841846243525,0.0,0,0,76
narrow,ambulance off stretcher times,201,300,100,0.20503467321395874,0.16176148355007172,0.1952069029211998,-0.059784580022096634,0.28059074432492564,0.33860501885832683,0.0278778038918972,0.0036202811007387935,0.0,0.0,0.0056434094287635935,0.0,0,0,23
narrow,ambulance off stretcher times,301,500,200,0.19052165746688843,0.14141943304799498,0.17818628996610641,-0.051141444593667984,0.24530551470037076,0.3090811399155511,0.005865580402314663,0.0009966679167700931,0.0,0.0,0.0015536376768363913,0.0,0,0,0
narrow,ambulance off stretcher times,501,750,250,0.17453092336654663,0.12360567671060563,0.1650363877415657,-0.11276481300592422,0.21440585280166086,0.286271378456843,0.0023840898647904396,0.0005066065671853721,0.0,0.0,0.000789714444368436,0.0,0,0,0
narrow,ambulance off stretcher times,751,1000,250,0.16057512164115906,0.15137273925542832,0.15111403167247772,0.14259138703346252,0.26257047503546277,0.26212172202164574,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
narrow,koala habitat corridors,1,10,10,0.7693201303482056,0.6764762043952942,0.6689804792404175,0.6340382099151611,0.8793169159490356,0.8695736051227818,0.2977266311645508,0.21574878245592116,0.20517385751008987,0.11080947518348694,0.7246539606216106,0.6891350522039534,10,10,10
narrow,koala habitat corridors,11,25,15,0.6539398431777954,0.6252509395281474,0.6195981502532959,0.5926035642623901,0.812731806777433,0.8053840343068324,0.23378050327301025,0.12384465833504994,0.11487431824207306,0.06850157678127289,0.4159676877094751,0.3858382362126789,15,15,15
narrow,koala habitat corridors,26,50,25,0.6148394346237183,0.5369248473644257,0.54719078540802,0.4355010688304901,0.6979212244471045,0.7112653937189366,0.19963662326335907,0.09539200201630592,0.1005220040678978,0.03843534737825394,0.32040130788160376,0.3376318862531992,25,25,25
narrow,koala habitat corridors,51,100,50,0.5997949242591858,0.4233975648880005,0.4093853533267975,0.33810338377952576,0.5503529001592153,0.5321391410120826,0.08683738857507706,0.030427381140179934,0.024375895969569683,0.0,0.10219905764279111,0.08187341479740637,50,50,50
narrow,koala habitat corridors,101,200,100,0.4034970700740814,0.3549541774392128,0.3575337827205658,0.25575441122055054,0.46138683161528005,0.4647399289535564,0.07160846143960953,0.010242035237606615,0.0,0.0,0.034400803171503784,0.0,71,96,100
